"Date","Price","Open","High","Low","Change %"
"2025/10/08","9.090","9.165","9.180","9.090","-0.98%"
"2025/10/07","9.180","9.223","9.230","9.155","-0.49%"
"2025/10/06","9.225","9.185","9.290","9.185","0.71%"
"2025/10/03","9.160","9.170","9.195","9.155","-0.22%"
"2025/10/02","9.180","9.160","9.185","9.145","0.11%"
"2025/10/01","9.170","9.195","9.255","9.155","-0.11%"
"2025/09/30","9.180","9.150","9.185","9.125","0.27%"
"2025/09/29","9.155","9.160","9.170","9.130","-0.11%"
"2025/09/26","9.165","9.125","9.175","9.125","0.44%"
"2025/09/25","9.125","9.075","9.160","9.070","0.66%"
"2025/09/23","9.065","9.125","9.140","9.065","-0.55%"
"2025/09/22","9.115","9.179","9.180","9.115","-0.49%"
"2025/09/19","9.160","9.172","9.240","9.160","-0.22%"
"2025/09/18","9.180","9.185","9.220","9.120","0.33%"
"2025/09/17","9.150","9.221","9.265","9.145","-0.92%"
"2025/09/16","9.235","9.210","9.265","9.175","0.38%"
"2025/09/15","9.200","9.344","9.350","9.200","-1.45%"
"2025/09/12","9.335","9.374","9.415","9.335","-0.48%"
"2025/09/11","9.380","9.469","9.505","9.380","-1.05%"
"2025/09/10","9.480","9.497","9.530","9.465","-0.05%"
"2025/09/09","9.485","9.550","9.555","9.470","-0.52%"
"2025/09/08","9.535","9.560","9.575","9.535","-0.31%"
"2025/09/05","9.565","9.625","9.640","9.545","-0.57%"
"2025/09/04","9.620","9.640","9.660","9.615","-0.26%"
"2025/09/03","9.645","9.617","9.705","9.617","0.26%"
"2025/09/02","9.620","9.600","9.675","9.595","0.47%"
"2025/09/01","9.575","9.605","9.630","9.540","-0.31%"
"2025/08/29","9.605","9.610","9.645","9.605","0.10%"
"2025/08/28","9.595","9.580","9.630","9.575","0.05%"
"2025/08/27","9.590","9.572","9.625","9.572","0.05%"
"2025/08/26","9.585","9.579","9.630","9.579","0.26%"
"2025/08/25","9.560","9.535","9.585","9.535","-0.83%"
"2025/08/22","9.640","9.625","9.645","9.625","0.10%"
"2025/08/21","9.630","9.590","9.630","9.590","0.42%"
"2025/08/20","9.590","9.660","9.660","9.590","-0.62%"
"2025/08/19","9.650","9.640","9.665","9.635","0.05%"
"2025/08/18","9.645","9.595","9.660","9.595","0.63%"
"2025/08/15","9.585","9.605","9.625","9.580","-0.21%"
"2025/08/14","9.605","9.605","9.615","9.575","-0.05%"
"2025/08/13","9.610","9.685","9.685","9.605","-0.57%"
"2025/08/12","9.665","9.675","9.690","9.635","-0.05%"
"2025/08/11","9.670","9.625","9.675","9.625","0.42%"
"2025/08/08","9.630","9.665","9.685","9.570","-0.16%"
"2025/08/07","9.645","9.675","9.685","9.630","-0.21%"
"2025/08/06","9.665","9.670","9.715","9.665","-0.10%"
"2025/08/05","9.675","9.635","9.705","9.620","0.47%"
"2025/08/04","9.630","9.615","9.635","9.600","0.36%"
"2025/08/01","9.595","9.640","9.690","9.585","-0.36%"
"2025/07/31","9.630","9.805","9.860","9.610","-1.83%"
"2025/07/30","9.810","9.800","9.815","9.770","0.10%"
"2025/07/29","9.800","9.795","9.850","9.795","0.00%"
"2025/07/28","9.800","9.835","9.860","9.800","-0.36%"
"2025/07/25","9.835","9.835","9.875","9.830","0.20%"
"2025/07/24","9.815","9.800","9.845","9.795","0.10%"
"2025/07/23","9.805","9.850","9.865","9.805","-0.41%"
"2025/07/22","9.845","9.910","9.975","9.830","-1.40%"
"2025/07/21","9.985","9.935","10.015","9.925","0.50%"
"2025/07/18","9.935","9.975","9.995","9.935","-0.10%"
"2025/07/17","9.945","9.890","9.965","9.880","0.66%"
"2025/07/16","9.880","9.855","9.900","9.855","0.20%"
"2025/07/15","9.860","9.915","9.915","9.825","-0.25%"
"2025/07/14","9.885","9.895","9.925","9.875","0.10%"
"2025/07/11","9.875","9.790","9.935","9.790","0.97%"
"2025/07/10","9.780","9.845","9.855","9.780","-0.61%"
"2025/07/09","9.840","9.890","9.935","9.840","-0.56%"
"2025/07/08","9.895","9.880","9.895","9.840","0.71%"
"2025/07/07","9.825","9.765","9.885","9.755","1.03%"
